"","CODE","pCycle","Abs.Growth","Cycle.y"
"58","E02002391",0.0176737520898018,0.433344343167987,51
"59","E02002392",0.0256967064784654,0.646593724769621,36
"60","E02002393",0.0151209677419355,0.0439075409145924,27
"61","E02002394",0.0228456913827655,1.10952861963798,29
"62","E02002395",0.00902777777777778,0.0784990216893551,22
"63","E02002396",0.0230540972380735,0.879747809347065,56
"64","E02002397",0.0133074577210979,-0.00715092981927387,43
"65","E02002398",0.0150482680295287,0.178413884844448,46
"66","E02002399",0.0221056575496441,0.247156562639551,44
"67","E02002400",0.0231866825208086,0.144755208602595,59
"68","E02002401",0.0211436809226333,0.508438506099036,26
"69","E02002402",0.0105680317040951,0.0151365037428446,32
"70","E02002403",0.013728323699422,0.188338471880459,33
"71","E02002404",0.0169651272384543,-0.562863688264829,50
"72","E02002405",0.012979683972912,0.430916374169809,30
"73","E02002406",0.00915855752718947,-0.247523104134872,46
"74","E02002407",0.0136934195511601,-0.592278513967142,46
"75","E02002408",0.0140646976090014,0.204991017831749,39
"76","E02002409",0.012399708242159,0.222638495655238,27
"77","E02002410",0.0159810594850547,-0.152359600842756,47
"78","E02002411",0.025993426949507,0.528472929649276,45
"79","E02002412",0.0132843414358395,-0.276209079359038,47
"80","E02002414",0.0279459711224965,0.471528500688332,43
"81","E02002415",0.0185270958777212,-0.307243710534947,37
"82","E02002416",0.0108735048930772,0.410149586373183,18
"83","E02002417",0.00818866688503112,-0.0536674541372526,23
"84","E02002418",0.00885200553250346,0.0582829598656865,29
"85","E02002419",0.0160147828765014,-0.344047004178655,55
"86","E02002420",0.020708446866485,0.136320877124692,65
"87","E02002421",0.0192397935241671,0.2892555643671,29
"88","E02002422",0.0138376383763838,0.395352113030333,29
"89","E02002423",0.0172968624296058,0.696094511694429,24
"90","E02002424",0.0119356512714063,-0.0474718281820365,45
"91","E02002425",0.0110755599310854,0.111593678169106,37
"92","E02002426",0.0134393856280856,0.66308749897877,24
"93","E02002427",0.0135004821600771,0.543075975852776,25
"94","E02002428",0.0121733966745843,0.341149191267956,23
"95","E02002429",0.0101084812623274,-0.0325346304943314,38
"96","E02002430",0.0110518292682927,-0.119996625346482,29
"97","E02002431",0.0114750179297155,-0.032122871907805,44
"98","E02002432",0.0147279831680192,0.144336011919825,40
"99","E02002433",0.0177383592017738,0.633585064989242,30
"100","E02002434",0.00922468701954755,0.157783265736472,22
"101","E02002435",0.0116494572411967,0.286956017792091,29
"102","E02002436",0.0127952755905512,-0.146618451131639,42
"103","E02002437",0.00796812749003984,-0.0277987321250993,26
"104","E02006852",0.0470330411328388,2.09290175803364,133
"105","E02006861",0.049811822005756,2.57958113319735,108
"106","E02006875",0.0154334997730368,1.1289853364197,3
"107","E02006876",0.0202937249666222,-0.0210082883407129,35
